STATE,Latitude,Longitude,Inhabited_villages,Uninhabited_villages,Towns,Households,Total_Population,Males_Population,Females_Population,Area,Density
ANDAMAN AND NICOBAR ISLANDS,11.66702557,92.73598262,396,159,5,94551,380581,202871,177710,8249,46
ANDHRA PRADESH,14.7504291,78.57002559,26286,1514,353,21022588,84580777,42442146,42138631,275045,308
ARUNACHAL PRADESH,27.10039878,93.61660071,5258,331,27,270577,1383727,713912,669815,83743,17
ASSAM,26.7499809,94.21666744,25372,1023,214,6406471,31205576,15939443,15266133,78438,398
BIHAR,25.78541445,87.4799727,39073,5801,199,18913565,104099452,54278157,49821295,94163,1106
CHANDIGARH,30.7333,76.7794,5,0,6,241173,1055450,580663,474787,114,9258
CHHATTISGARH,22.09042035,82.15998734,19567,559,182,5650724,25545198,12832895,12712303,135192,189
DADRA & NAGAR HAVELI,20.26657819,73.0166178,65,0,6,76458,343709,193760,149949,491,700
DAMAN & DIU,20.3974,72.8328,19,0,8,60956,243247,150301,92946,111,2191
DELHI,28.6699929,77.23000403,103,9,113,3435999,16787941,8987326,7800615,1483,11320
GOA,15.491997,73.81800065,320,14,70,343611,1458545,739140,719405,3702,394
GUJARAT,23.22,72.68,17843,382,348,12248428,60439692,31491260,28948432,196244,308
HARYANA,28.45000633,77.01999101,6642,199,154,4857524,25351462,13494734,11856728,44212,573
HIMACHAL PRADESH,31.10002545,77.16659704,17882,2808,59,1483280,6864602,3481873,3382729,55673,123
JAMMU & KASHMIR,34.29995933,74.46665849,6337,216,122,2119718,12541302,6640662,5900640,222236,124
JHARKHAND,23.80039349,86.41998572,29492,2902,228,6254781,32988134,16930315,16057819,79716,414
KARNATAKA,12.57038129,76.91999711,27397,1943,347,13357027,61095297,30966657,30128640,191791,319
KERALA,8.900372741,76.56999263,1017,1,520,7853754,33406061,16027412,17378649,38852,860
LAKSHADWEEP,10.56257331,72.63686717,6,15,6,11574,64473,33123,31350,30,2149
MADHYA PRADESH,21.30039105,76.13001949,51929,2974,476,15093256,72626809,37612306,35014503,308252,236
MAHARASHTRA,19.25023195,73.16017493,40959,2706,534,24421519,112374333,58243056,54131277,307713,365
MANIPUR,24.79997072,93.95001705,2515,67,51,557859,2855794,1438586,1417208,22327,128
MEGHALAYA,25.57049217,91.8800142,6459,380,22,548059,2966889,1491832,1475057,22429,132
MIZORAM,23.71039899,92.72001461,704,126,23,222853,1097206,555339,541867,21081,52
NAGALAND,25.6669979,94.11657019,1400,28,26,396002,1978502,1024649,953853,16579,119
ODISHA,19.82042971,85.90001746,47675,3636,223,9637820,41974218,21212136,20762082,155707,270
PUDUCHERRY,11.93499371,79.83000037,90,0,10,302450,1247953,612511,635442,490,2547
PUNJAB,31.51997398,75.98000281,12168,413,217,5513071,27743338,14639465,13103873,50362,551
RAJASTHAN,26.44999921,74.63998124,43264,1408,297,12711146,68548437,35550997,32997440,342239,200
SIKKIM,27.3333303,88.6166475,425,26,9,129006,610577,323070,287507,7096,86
TAMIL NADU,12.92038576,79.15004187,15049,930,1097,18524982,72147030,36137975,36009055,130060,555
TRIPURA,23.83540428,91.27999914,863,12,42,855556,3673917,1874376,1799541,10486,350
UTTAR PRADESH,27.59998069,78.05000565,97814,8960,915,33448035,199812341,104480510,95331831,240928,829
UTTARAKHAND,30.32040895,78.05000565,15745,1048,115,2056975,10086292,5137773,4948519,53483,189
WEST BENGAL,22.58039044,88.32994665,37469,2734,909,20380315,91276115,46809027,44467088,88752,1028
